video_id,channel_name,channel_handle,title,url,published_at,duration_seconds,duration_band,views,likes,comments,engagement_rate,domain,lean,expected_function,viral_status,axis1_reporting_or_commentary,axis2_narrative_or_instruction
XbWYEQnEsbw,Ben Shapiro,@BenShapiro,The 90s Were Something Else..,https://www.youtube.com/shorts/XbWYEQnEsbw,2026-03-12T22:00:36Z,17,short,334895,8080,493,0.025599068364711326,political,right,commentary,viral,,
LikZIeaVQqc,Ben Shapiro,@BenShapiro,She LIED About The Terrorist,https://www.youtube.com/shorts/LikZIeaVQqc,2026-03-11T23:30:07Z,27,short,303609,8472,339,0.029020878827702736,political,right,commentary,viral,,
Tt3g34RYe5s,Ben Shapiro,@BenShapiro,Addressing The Rumors....,https://www.youtube.com/shorts/Tt3g34RYe5s,2026-03-11T22:30:06Z,30,short,217085,5793,522,0.029089987792800056,political,right,commentary,viral,,
cFJw0J8-JuY,Ben Shapiro,@BenShapiro,Will Trump SEIZE Kharg Island?,https://www.youtube.com/shorts/cFJw0J8-JuY,2026-03-20T21:52:10Z,20,short,72195,1883,203,0.028893967726296835,political,right,commentary,average,,
dDC3jvw-fX8,Ben Shapiro,@BenShapiro,Tucker Carlson TARGETED By CIA?,https://www.youtube.com/shorts/dDC3jvw-fX8,2026-03-16T18:11:44Z,19,short,71514,2030,219,0.03144838772827698,political,right,commentary,average,,
1dFxqhfiFis,Ben Shapiro,@BenShapiro,The View Says We're The SAME As Iran?,https://www.youtube.com/shorts/1dFxqhfiFis,2026-03-26T20:59:15Z,24,short,69047,1929,136,0.029907164684924763,political,right,commentary,average,,
ltBtX-JbClI,Ben Shapiro,@BenShapiro,Tucker Carlson's INSANE Claim,https://www.youtube.com/shorts/ltBtX-JbClI,2026-03-09T21:19:21Z,39,medium,354854,9894,2332,0.034453606271875194,political,right,commentary,viral,,
5eCn5EEMD3k,Ben Shapiro,@BenShapiro,Reacting To Dave Ramsey,https://www.youtube.com/shorts/5eCn5EEMD3k,2026-02-26T21:08:38Z,56,medium,310309,6728,228,0.022416365622653547,political,right,commentary,viral,,
XAqMhpTQrko,Ben Shapiro,@BenShapiro,This Is EVIL,https://www.youtube.com/shorts/XAqMhpTQrko,2026-02-25T00:20:39Z,55,medium,304844,12672,1599,0.04681410819960373,political,right,commentary,viral,,
3-hdf0FFcjw,Ben Shapiro,@BenShapiro,Holding Each Other Accountable Is Good,https://www.youtube.com/shorts/3-hdf0FFcjw,2026-02-27T18:55:51Z,39,medium,96067,2670,105,0.028886089916412505,political,right,commentary,average,,
